code_us;label_US;code_cs;label_CS;area
US1.1;Agriculture;CS1.1.1.1;Zones bâties;0.0006695463220682273
US1.1;Agriculture;CS1.1.1.2;Zones non bâties;2.7170649055582584e-05
US1.1;Agriculture;CS1.1.2.1;Zones à matériaux minéraux;0.00029677266310992406
US1.1;Agriculture;CS1.2.2;Surfaces d'eau;4.9074696892154814e-05
US1.1;Agriculture;CS2.1.1.1;Peuplement de feuillus;0.004334835682199757
US1.1;Agriculture;CS2.1.1.1.23;Forêt sèche basse;0.0001739249744118785
US1.1;Agriculture;CS2.1.1.1.24;Forêt sèche haute;4.902059723916036e-05
US1.1;Agriculture;CS2.1.1.1.25;Forêt moyennement humide ou humide;8.689215765704646e-05
US1.1;Agriculture;CS2.1.1.1.28;Espaces sylvicoles de feuillus;4.001931664176603e-05
US1.1;Agriculture;CS2.1.1.1.30;Formation arborée des zones agricoles ou d'habitation;0.012043632289834131
US1.1;Agriculture;CS2.1.2.5.1;Friche avec fort couvert de ligneux bas;0.010421808547522463
US1.1;Agriculture;CS2.1.2.5.2;Autre friche ou savane;0.007483944924876163
US1.1;Agriculture;CS2.2.1;Formations herbacées;3.1990928137388665e-06
US1.1;Agriculture;CS2.2.1.1;Prairies;0.06206091284607666
US1.1;Agriculture;CS2.2.1.2;Pelouses, herbe rase;0.00012380976086046364
US1.1;Agriculture;CS2.2.1.4;Terres arables;0.029950354146021357
US1.1;Agriculture;CS2.2.1.4.1;Céréales;0.00014553347652038767
US1.1;Agriculture;CS2.2.1.4.2;Oléoprotéagineux;8.764143785101968e-07
US1.1;Agriculture;CS2.2.1.4.3;Cultures fourragères;0.0014479429492830675
US1.1;Agriculture;CS2.2.1.4.4;Plantes aromatiques;8.686420616966599e-05
US1.1;Agriculture;CS2.2.1.4.5.5;Cannes à sucre;0.03776465860190817
US1.1;Agriculture;CS2.2.1.4.5.6;Légumes et fruits;0.012539386181640315
US1.1;Agriculture;CS2.2.1.4.5.8;Tubercules tropicaux;0.0025310098872841393
US1.1;Agriculture;CS2.2.1.4.5.9;Plantes ornementales, parfum,arômes et médecine;3.568052447161061e-05
US1.1;Agriculture;CS2.2.2.2.1;Bambous;0.00010010780122270896
US1.1;Agriculture;CS2.2.2.2.2;Bananiers;0.061960869964437545
US1.1;Agriculture;CS2.2.2.2.3;Palmiers;0.0002750732922938475
US1.2;Sylviculture;CS2.1.1.1.22;Forêt littorale;0.0010356594120820295
US1.2;Sylviculture;CS2.1.1.1.23;Forêt sèche basse;0.0729381575190112
US1.2;Sylviculture;CS2.1.1.1.24;Forêt sèche haute;0.08340309430990084
US1.2;Sylviculture;CS2.1.1.1.25;Forêt moyennement humide ou humide;0.25663671032128466
US1.2;Sylviculture;CS2.1.1.1.26;Formation semi-arborée d'altitude;0.0050925527170574665
US1.2;Sylviculture;CS2.1.1.1.27;Peuplement de mahogany;0.024128096292765827
US1.2;Sylviculture;CS2.1.1.1.28;Espaces sylvicoles de feuillus;0.00030432677798971665
US1.2;Sylviculture;CS2.1.1.1.29;Forêt marécageuse;0.00020636943797353735
