code_us;;US1.1;US1.2;US1.3;US1.4;US2;US2.4.2;US2.4.3;US2.4.4;US235;US3;US4.1.1;US4.1.2;US4.1.3;US4.1.4;US4.2;US4.3;US5;US6.1;US6.2;US6.3;TOTAL
label_US;;Agriculture;Sylviculture;Activités d’extraction;Pêche et aquaculture;Production secondaire;Production d'énergie thermique;Production d'énergie biomasse;Production d'énergies renouvelables;Usage mixte;Production tertiaire;Réseaux de transport routier;Réseaux de transport ferré;Réseaux de transport aérien;Réseaux de transport fluvial et maritime;Services de logistique et de stockage;Réseaux d’utilité publique;Usage résidentiel;Zones en transition;Zones abandonnées;Sans usage;
code_cs;label_CS;;;;;;;;;;;;;;;;;;;;;
CS1.1.1.1;Zones bâties;0.0006695463220682273;;1.8986273218404543e-05;3.8500919714388276e-07;0.0013682117823607207;4.5946835288191984e-05;4.6886365928529045e-07;3.624676750628592e-07;0.029202679810081185;0.002723504567586365;3.061138698603002e-06;;5.87332882734318e-05;3.1770922881877875e-05;9.918269715650376e-07;8.800029888254958e-05;0.007981019749876295;0.00010587031592750183;4.133213488776484e-05;;0.04234087160753418
CS1.1.1.2;Zones non bâties;2.7170649055582584e-05;;1.343114051675709e-05;;0.0013240150708468993;8.630156977852364e-05;6.702225677306579e-05;1.6397604822619792e-05;0.001649567847688991;0.002053348722761067;0.017324084823332826;;0.0005135193161886814;0.0005217758248965188;6.052849509196452e-06;0.00013793247527466653;0.0017140961104590124;2.2691197787641578e-05;2.5453886733891825e-06;;0.02547995284836544
CS1.1.2.1;Zones à matériaux minéraux;0.00029677266310992406;;0.0011839222160959875;;0.0004686589822647948;7.45583384351936e-06;;;0.0009444428888289595;0.00022234055719838418;5.172377656711671e-05;1.1811757570456356e-05;7.225910318292919e-06;3.739097516711867e-05;1.6140631470896126e-05;0.0001232119596948749;0.0005881948705386964;0.0007357760189249242;8.023880199961153e-06;2.803714516437713e-05;0.004731130066958284
CS1.1.2.2;Zones à autres matériaux composites;;;7.062709698426308e-06;;1.7231641139617665e-05;;;;9.237515748803463e-06;;;;;;;0.00011424494221104371;;;;;0.00014777680879789114
CS1.2.1;Sols nus;;;;;;;;;;;;;;;;;;;;0.0019449844128305207;0.0019449844128305207
CS1.2.1.6;Etang bois sec;;;;;;;;;;;;;;;;;;;;0.0021216955193716137;0.0021216955193716137
CS1.2.2;Surfaces d'eau;4.9074696892154814e-05;;2.3823683856992202e-05;7.826416466531388e-05;1.6428261292649985e-06;;;;0.000737986891410631;4.280364544921406e-05;2.0720167096876876e-06;;3.264012397332215e-05;0.0009699616951464447;;3.428295010258714e-05;1.5546436948840344e-05;;;0.0038049800741285166;0.005793079205412969
CS2.1.1.1;Peuplement de feuillus;0.004334835682199757;;;;;;;;;;;;;;;;;;;;0.004334835682199757
CS2.1.1.1.21;Mangrove;;;;;;;;;;2.3939096450047042e-06;2.8970364178531505e-06;;0.00013630587904129988;;;;;;;0.019963755666978097;0.020105352492082257
CS2.1.1.1.22;Forêt littorale;;0.0010356594120820295;;;;;;;;5.259387931944422e-06;;;;;;;;;;3.737113862768737e-05;0.0010782899386416612
CS2.1.1.1.23;Forêt sèche basse;0.0001739249744118785;0.0729381575190112;3.948102509447118e-05;;3.6517265771258203e-06;;;;5.855115277501713e-05;2.8627733042899946e-05;2.433582723867306e-06;;;;;;0.0005963134251313978;;;6.823048235660865e-05;0.07390937162112446
CS2.1.1.1.24;Forêt sèche haute;4.902059723916036e-05;0.08340309430990084;5.3179057232667594e-05;;1.4552806655508824e-06;;;;0.000168298610500455;0.0001441440170993134;2.4227627932684145e-06;;;;2.6148165613987354e-06;7.213287065927545e-07;0.0013616855608878228;;;0.00012572939688088361;0.08531236573846795
CS2.1.1.1.25;Forêt moyennement humide ou humide;8.689215765704646e-05;0.25663671032128466;4.805491843320931e-05;;4.82749236887201e-06;;;;0.001090596708037017;0.00010789905291479396;;;;;;;0.0020355120671687946;;;0.0006400070098723707;0.26065049972773674
CS2.1.1.1.26;Formation semi-arborée d'altitude;;0.0050925527170574665;;;;;;;;;;;;;;;8.493645520129685e-07;;;;0.00509340208160948
CS2.1.1.1.27;Peuplement de mahogany;;0.024128096292765827;;;;;;;2.2725460901204735e-05;;;;;;;;1.1992089747104544e-06;;;1.9506531548034564e-05;0.024171527494189778
CS2.1.1.1.28;Espaces sylvicoles de feuillus;4.001931664176603e-05;0.00030432677798971665;;;;;;;;;;;;;;;;;;;0.0003443460946314827
CS2.1.1.1.29;Forêt marécageuse;;0.00020636943797353735;;;;;;;;;;;;;;;;;;5.202583296300242e-07;0.0002068896963031674
